jurisjurandum|jūrisjūrandum=jūrīsjūrāndŭm|4|||i, n.
jussu|jussū=jūssū|30|||+ gén.
kal|Kal=Kăl|30|||inv.
ladicula|Ladĭcŭla|0|||ae, m.
langobardus|Langŏbardus=Lāngŏbārdus|1|||cf. Langobardi
laomedontiada|Lāŏmĕdontĭăda=Lāŏmĕdōntĭăda|0|||cf. Laomedontiades
lecticariolus|lectĭcāriŏlus=lēctĭcārĭŏlus|11|||a, um
leitus|Leitus=Lĕitus|1|||i, m.
libellum|lĭbellum=lĭbēllŭm|4|||i, n.
libitaina|Lĭbĭtaina=Lĭbĭtăina|0|||ae, f.
licitumst|lĭcĭtumst=lĭcĭtūmst|30|||contr.
ligones|Ligones=Ligonēs|5|Ligōn||um, m. pl.
lippa|lippa=līppa|0|||ae, f.
liscus|Liscus=Līscus|1|||i, m.
lubeo|lŭbeo=lŭbĕo|18|||cf. libet
lucterius|Lucterius=Lūcterĭus|1|||i, m.
lucuntulus|lŭcuntŭlus=lŭcūntŭlus|1|||i, m.
lyda|Lȳda|0|||cf. Lyde
magalesiacus|Magalesiacus=Magalesĭacus|11|||a, um
magnificentus|magnĭfĭcentus=māgnĭfĭcēntus|11|||a, um
magnust|magnust=māgnūst|30|||contr.
mallovendus|Mallovendus=Māllovēndus|1|||i, m.
mannicius|Mannicius=Mānnicĭus|1|||i, m.
marcella|Marcella=Mārcēlla|0|||ae, f.
martina|Martīna=Mārtīna|0|||ae, f.
martiolum|martiōlum=mārtĭōlŭm|4|||i, n.
massinissa|Massinissa=Māssinīssa|0|||ae, m.
mastama|Mastama=Māstama|0|||ae, m.
mavelis|măvĕlĭs|30|||arch.
mazippa|Mazippa=Māzīppa|0|||ae, m.
megaravicus|Megaravicus|1|||i, m.
memento|mĕmento=mĕmēntŏ|30|||imp. de memini
menippaeus|Menippaeus=Menīppāēus|11|||a, um
mererio|Mererio=Mererĭō̆|5|Mererĭon||onis, m.
mevius|Mēvius=Mēvĭus|1|||i, m.
nanneius|Nanneius=Nānnējus|1|||i, m.
nequius|nēquiŭs=nēquĭŭs|30|||adv.
nescioquis|nescioquĭs=nēscĭoquĭs|30|||nescioquis
nevius|Nēvius=Nēvĭus|1|||i, m.
noli|nōlī|30|||ite + inf.
nolite|nōlĭtĕ|30|||ite + inf.
nuga|nūga|0|||ae, f.
nuptia|nuptĭa=nūptĭa|0|||cf. nuptiae
nysigenus|Nȳsigenus|11|||a, um
ocricolum|Ocrĭcŏlum=Ō̆crĭcŏlŭm|4|||i, n.
octingentus|octingentus=ōctīngēntus|11|-|-|cf. octingenti
odiossus|ŏdĭōssus|11|||cf. odiosus
