positum,|19
prehendī,|3
prehēnsum,|3
pressī,|9
pressum,|9
punctus,|1
ga,|1
hapsis),</I>|1
sīdis,|1
Acc.|11
sīda,|1
plur.|5
sīdas,|1
ἀµπελόφυλλα|1
206,|1
15|1
</I>I,|4
podis,|9
legis|1
ferī,|13
<B>aquiminārium</B>,|1
bum|1
tōn,|1
Es,|9
Arachosia,|1
Isid.|3
14,|5
3,|9
8|2
ūs|7
cadis,|1
cuī,|10
tyris,|1
tricliniarcha|1
arcuatura,|1
Vitell.|1
poët.|1
Arsī,|4
Arsūrus,|1
cere|1
</I>|7
uitūrus,|1
pidum|2
mantis,|2
ōdis,|3
custos|1
armorum|1
rēpsī,|9
Aridaeus),|1
rīsī,|5
rīsum,|5
rēxī,|9
rēctum,|8
ūntis,|9
senis|2
midis.|1
arcis,|1
artaena),|1
assis,|2
Asc.|1
lacus|1
axilla,|1
scendī,|5
scēnsum,|6
ascīvī,|1
ascītum,|1
scrīpsī,|13
scrīptum,|13
επιγράφω,|1
era,|11
erum,|1
spersī,|5
spersum,|5
tātis,|1
spēxī,|12
spectum,|12
intr.:|16
A)|26
pidis|4
n.]|1
sensī,|2
sēnsum,|6
sentīre|1
secūtus|9
sequī|6
seruī,|9
sertum,|10
sēvī,|11
ius,|1
essedarius|1
sēdī,|17
sessum,|17
sēdi,|4
siluī,|7
astitī|1
suēvī,|6
suētum,|6
sūctum,|3
affuī|1
sūmpsī,|6
sūmptum,|7
suī,|7
sūtum,|6
surrēxī,|6
surrēctum,|6
astacus|1
tuī,|9
tūtum,|2
strepuī,|3
strepitum,|3
strīnxī,|11
strictum,|13
struxī,|1
strūctum,|11
actis|1
tacis,|1
ātra,|1
Atrum,|1
ον)|1
lidis|3
acis|2
plicis|12
trōcis,|1
gēnis|1
attattatae,|1
ēī,|55
tendī,|11
trīvī,|12
trītum,|12
Ari,|2
texuī,|11
textum,|10
thidis|3
tigī,|3
tāctum,|3
tinctum,|1
tondī,|2
tōnsum,|3
tonuī,|6
tonitum,|1
tractum,|11
būtum,|4
Erī|17
tūsum,|2
yos|4
cupis,|1
ausus|1
abstulī,|2
ablātum,|1
auferre|1
fūgī,|13
locus|2
secretus|1
publicus,|1
sicut|1
theatris|1
aut|1
circo,|1
Petr.|1
fr.|9
XI|1
II.|1
109|1
B.|1
8,|8
Flavius|4
Claudius|1
auricula|1
aurigo|1
Decimus|1
Magnus|2
spicis,|2
disiunct.|1
adversat.|1
vellī|3
verrī,|2
archaist.|2
egerim,|1
297;|1
ānis,|1
vas|2
aquarium,|1
IV,|9
170,|1
–|15
2)|1
vinarium,|1
599,|1
idos,|4
chidis,|1
bacillus|1
Biterrae),|1
Biterrēnsis)|1
bīto),|1
Bagenni,|1
Vagenni),|1
portus|1
Arum|4
ἀχθοφόρος|1
βαλανεύς|1
ūcis,|2
eos|15
um]|1
cidis,|1
bri,|1
ycum,|1
phontis,|1
Av|1
indecl.,|3
bēssis|1
bēchos,|1
bibo|1
II|3
bibī|1
actis,|2
gerī,|6
cordis|10
erum|10
lancis|1
līcis|1
ītum,|4
byrrhus),|1
<B>bistia</B>|1
bestia|1
ticis|1
dītus|1
dīrī|1
ital.|1
udis,|2
āris|3
ȳcis|2
bovis,|2
βουστάσιον|1
tryos,|1
yos,|5
bōcis|1
bravīum),|1
432,|1
10.|3
bravifer|1
brachialis|1
ys,|1
quentis|1
idos|1
broccus,|1
broncus,|1
bronchus),|1
ōntis,|4
Brundisium|1
Brittiī),|1
drückt|1
vielen|1
Zusammensetzungen|1
griech.|1
Wörter|1
bloß|1
den|1
Begriff|1
des|3
sehr|1
Großen,|1
Ungeheuern|1
aus,|1
ist|2
aber|2
auch|2
diesen|1
Fällen|1
von|1
</I>βοῦς|1
buccilla,|1
bucilla),|1
būcēlātum),|1
buccellare|1
u.|13
adis|25
aedis,|1
rufus,|1
πυρρος,|1
ξανθός|1
Pyrrhus|1
ridis|2
<B>c,|1
īī,|12
καγχασµός|1
<B>-on</B>|4
