Ligures,|1
Sil.|1
8,|2
605,|1
Bagienni|1
Varr.|5
R.|1
1,|1
51,|1
Băgōus,|1
Balanēa,|1
īrĕ,|2
bālista,|1
ūcis,|3
casĭa,|1
ind.,|5
gén.|31
aris|8
vitis,|7
īrĕ|7
aedes,|1
-en,|2
ōn,|7
mot|3
hébreu|1
onomatopée|1
Castra,|1
n|13
Batnē,|1
battālĭa,|1
bēbri,|1
invar.|15
ind.|15
Bel,|1
Belgae,|1
dim.|10
bellus|3
columna,|1
bellĭgĕr,|1
Velliocassi|1
Veliocasses|1
Plaut.|21
benedic|1
dīxi,|8
are|15
cĭtum|3
urbs,|2
insulae,|7
bessis|1
bessis,|1
Bethleemum,|3
(beta,|1
Cato.|1
e,|20
bĭbi,|2
actis,|5
geri,|1
cordis|7
dentis|2
lancis,|2
icis|13
tra,|21
trum|20
binae,|1
bina|1
ŏn,|9
ĭcis|14
(ancienne|1
forme|13
īrī,|3
itus|6
Blemyae,|1
Dea|1
bŏvis,|1
ys,|1
breve|1
portus,|8
Curetĭa,|1
pix,|2
idos|1
ivi|3
itum|12
ĕs|5
Cāci,|1
cĕcĭdi,|1
căsum|1
cādūcĕum,|1
fĕri,|2
cĕcīdi,|1
caesum|1
ibis|1
ĭtis|3
Silva,|1
ĭtis,|14
us|4
bri,|5
Curĭa,|1
vĭŏla,|2
calcaris,|1
ŏnis|4
ŏnos,|3
...|5
călŭi,|1
ager,|4
aedificia,|1
Suet.|1
ui|1
calōnis,|1
fĭĕri|9
calvi|1
calcis,|1
tis,|2
n |1
Montes,|1
virgines,|1
ertis|3
tre|8
ēris,|24
herba|1
insula|1
&mu;&iota;&xi;&omicron;&pi;ό&lambda;&iota;&omicron;&sigmaf;|1
regio,|3
cancri,|1
dui|5
candui|2
pistor,|1
cānŭi|2
canōrum,|1
ĭēi,|2
cĕcĭni,|1
cantum|1
cecini|3
pri,|3
cape|1
si|2
vis,|2
aes|1
cape,|1
vis.|1
ceperit|1
cepero|1
īcis.|1
căpĭtis,|1
yas|1
falco|1
ўos|1
Cāris,|1
Palus|1
narium,|1
cărŭi|1
cărĭem,|1
cărĭe,|1
