adeo|ădĕo|23|ădĭ|ădĭt|is, ire, ii, itum|
adeps|ădeps=ădēps|6|ădĭp||m. ou f.|
adequito|ădĕquĭto|17|||as, are|
adfatim|adfătim=ādfătĭm|30|||adv.|
adfatus|adfātus=ādfātus|9|||us, m.|
adfectio|adfectĭo=ādfēctĭō̆|5|ādfēctĭōn||onis, f.|
adfecto|adfecto=ādfēcto|17|||as, are|
adfectus|adfectus=ādfēctus|11|||a, um|
adfero|adfĕro=ādfĕro|33|ādtŭl|ā̆dlāt|fers, ferre, adttuli att-, adlatum all-|
adficio|adfĭcĭo=ādfĭcĭo|20|ādfēc|ādfēct|is, ere, feci, fectum|
adfigo|adfīgo=ādfīgo|19|ādfīx|ādfīx|is, ere, fixi, fixum|
adfingo|adfingo=ādfīngo|19|ādfīnx|ādfīct|is, ere, finxi, fictum|
adfinitas|adfīnĭtās=ādfīnĭtās|5|ādfīnĭtāt||atis, f.|
adfirmatio|adfirmātĭo=ādfīrmātĭō̆|5|ādfīrmātĭōn||ionis, f.|
adfirmo|adfirmo=ādfīrmo|17|||as, are|
adflatus|adflātus=ādflātus|9|||us, m.|
adflecto|adflecto=ādflēcto|19|||is, ere|
adflicto|adflicto=ādflīcto|17|||as, are|
adfligo|adflīgo=ādflīgo|19|ādflīx|ādflīct|is, ere, flixi, flictum|
adflo|adflo=ādflo|17|||as, are|
adfluo|adflŭo=ādflŭo|19|ādflūx|ādflūct|is, ere, fluxi, fluctum|
adfor|adfor=ādfŏr|24|||aris, ari, atus sum|
adformido|adformīdo=ādfōrmīdo|17|||as, are|
adfrico|adfrĭco=ādfrĭco|17|ādfrĭcŭ|ādfrĭcāt|as, are, fricui, frictum, are|
adfundo|adfundo=ādfūndo|19|ādfūd|ādfūs|is, ere, fudi, fusum|
adgandestrius|Adgandestrius=Ādgāndēstrĭus|1|||i, m.|
adgero|adgĕro=ādgĕro|19||ādgēst|geris, gerere, gessi, gestum|
adgestus|adgestus=ādgēstus|9|||us, m.|
adgnosco|adgnosco=ādgnōsco|19|ādgnōv|ādgnĭt|is, ere, oui, itum|
adgredior|adgrĕdĭor=ādgrĕdĭŏr|27||ādgrēss|eris, i, gressus sum|
adgrego|adgrĕgo=ādgrĕgo|17|||as, are|
adguberno|adgŭberno=ādgŭbērno|17|||as, are|
adhaereo|ădhaerĕo=ădhāerĕo|18|ădhāes|ădhāes|as, ere, haesi, haesum|
adhaeresco|ădhaeresco=ădhāerēsco|19|ădhāes||is, ere, haesi, -|
adherbal|Adherbal=Adhērbăl|5|Adhērbăl||alis, m.|
adhibeo|ădhĭbĕo|18|ădhĭbŭ|ădhĭbĭt|es, ere, ui, itum|
adhortor|ădhortor=ădhōrtŏr|24|||aris, ari|
adhuc|ădhūc|30|||adv.|
adicio|ādĭcĭo|20|ādjēc|ādjēct|is, ere, ieci, iectum|
adigo|ădĭgo|19|ădēg|ădāct|is, ere, egi, actum|
adimo|ădĭmo|19|ădēm|ădēmpt|is, ere, emi, emptum|
adipiscor|ădĭpiscor=ădĭpīscŏr|26||ădēpt|eris, i, adeptus sum|
aditus|ădĭtus|9|||us, m.|
adjaceo|adjăcĕo=ādjăcĕo|18|ādjăcŭ||as, ere, cui, -|
adjectio|adjectĭo=ādjēctĭō̆|5|ādjēctĭōn||ionis, f.|
adjicio|adjĭcĭo=ādjĭcĭo|20|ādjēc|ādjēct|is, ere, ieci, iectum|
adjudico|adjūdĭco=ādjūdĭco|17|||as, are|
adjumentum|adjūmentum=ādjūmēntŭm|4|||i, n.|
