addenseo|adde_nseo_, adde_nse_re : v2
addico|addi_co_, addi_cere, addi_xi_, addictum : v3
addictio|addictio_, addictio_nis : f
addictus|addictus, addicti_ : m
addisco|addisco_, addiscere, addidici_ : v3
additamentum|addita_mentum, addita_menti_ : n
addo|addo_, addere, addidi_, additum : v3
addubito|addubito_, addubita_re, addubita_vi_, addubita_tum : v1
adduco|addu_co_, addu_cere, addu_xi_, adductum : v3
adedo|adedo_, ade_sse, ade_di_, ade_sum : v3
ademptio|ade_mptio_, ade_mptio_nis : f
adeo|adeo_ : adv
adeo|adeo_, adi_re, adi_vi_/adii_, aditum : v5
adeps|adeps, adipis : m/f
adeptio|adeptio_, adeptio_nis : f
adequito|adequito_, adequita_re, adequita_vi_, adequita_tum : v1
adhaereo|adhaereo_, adhaere_re, adhaesi_, adhaesum : v2
adhaeresco|adhaere_sco_, adhaere_scere, adhaesi_, adhaesum : v3
adhaesio|adhaesio_, adhaesio_nis : f
adhibeo|adhibeo_, adhibe_re, adhibui_, adhibitum : v2
adhinnio|adhinnio_, adhinni_re, adhinni_vi_, adhinni_tum : v4
adhortatio|adhorta_tio_, adhorta_tio_nis : f
adhortator|adhorta_tor, adhorta_to_ris : m
adhortor|adhortor, adhorta_ri_, adhorta_tus sum : v1 dep
adhuc|adhu_c : adv
adicio|adicio_, adicere, adie_ci_, adiectum : v3
adigo|adigo_, adigere, ade_gi_, ada_ctum : v3
adimo|adimo_, adimere, ade_mi_, ade_mptum : v3
adipiscor|adipi_scor, adipi_sci_, adeptus sum : v3 dep
aditus|aditus, aditu_s : m
adjaceo|adjaceo_, adjace_re : v2
adjectio|adjectio_, adjectio_nis : f
adjudico|adju_dico_, adju_dica_re, adju_dica_vi_, adju_dica_tum : v1
adjumentum|adju_mentum, adju_menti_ : n
adjunctio|adju_nctio_, adju_nctio_nis : f
adjunctum|adju_nctum, adju_ncti_ : n
adjungo|adjungo_, adjungere, adju_nxi_, adju_nctum : v3
adjuro|adju_ro_, adju_ra_re, adju_ra_vi_, adju_ra_tum : v1
adjuto|adju_to_, adju_ta_re, adju_ta_vi_, adju_ta_tum : v1
adjutor|adju_tor, adju_to_ris : m
adjutorium|adju_to_rium, adju_to_r(i)i_ : n
adjutrix|adju_trix, adju_tri_cis : f
